ISN,Region,County,Child ID,Custody Start,Custody End,Custody Type,Custody Sequence Number,Custody Tracking Number
6,II-W,Holmes,52477,1984-07-18,2003-06-24,CORD,1,26YC00P00059
5,II-W,Holmes,52485,1985-10-03,2003-10-14,CORD,1,26YC00P00058
3573,III-N,Yazoo,52558,1997-11-10,2001-02-28,CORD,1,82YC00P00180
13441,III-N,Yazoo,52558,2006-03-06,2007-01-19,CORD,2,82YC06P00052
52,III-N,Yazoo,52574,1990-03-23,2002-05-16,CORD,1,82YC00P00010
37,III-N,Yazoo,52582,2000-05-31,2001-09-20,CORD,1,82YC00P00024
53,III-N,Yazoo,52590,1999-08-20,2002-12-09,CORD,1,82YC00P00037
18,III-N,Yazoo,52604,2000-03-13,2001-07-17,CORD,1,82YC00P00007
20,III-N,Yazoo,52612,1998-05-07,2001-07-17,CORD,1,82YC00P00012
41,III-N,Yazoo,52620,2000-02-15,2001-09-27,CORD,1,82YC00P00027
43,III-N,Yazoo,52639,2000-02-15,2002-05-30,CORD,1,82YC00P00030
44660,III-N,Yazoo,52639,2016-06-28,2016-07-26,CORD,2,82YC16P00106
19,III-N,Yazoo,52698,1990-01-26,2009-03-04,CORD,1,82YC00P00008
61,III-N,Yazoo,52809,2000-03-24,2004-10-12,CORD,1,82YC00P00044
47,III-N,Yazoo,52825,2000-04-19,2003-07-01,CORD,1,82YC00P00033
31,III-N,Yazoo,52833,1994-04-05,2002-04-01,CORD,1,82YC00P00020
32,III-N,Yazoo,52841,1994-04-18,2003-05-22,CORD,1,82YC00P00021
33,III-N,Yazoo,52868,1994-04-18,2005-04-01,CORD,1,82YC00P00022
34,III-N,Yazoo,52876,1993-12-17,2006-08-22,CORD,1,82YC00P00023
16038,III-N,Yazoo,52876,2007-04-23,2008-08-12,CORD,2,82YC07P00033
39,III-N,Yazoo,52884,1997-09-09,2004-01-05,CORD,1,82YC00P00025
42,III-N,Yazoo,52892,1999-04-08,2004-07-25,CORD,1,82YC00P00028
50,III-N,Yazoo,52973,1999-12-14,2005-09-21,CORD,1,82YC00P00036
90,III-N,Rankin,53023,2000-05-09,2000-07-25,CORD,1,61YC00P00262
5796,III-N,Rankin,53023,2002-07-30,2008-07-31,CORD,2,61YC00P00262
91,III-N,Rankin,53031,2000-05-09,2000-07-25,CORD,1,61YC00P00263
5795,III-N,Rankin,53031,2002-07-30,2008-07-31,VOL,2,61YC00P00263
92,III-N,Rankin,53058,2000-05-09,2000-07-25,CORD,1,61YC00P00264
5794,III-N,Rankin,53058,2002-07-30,2008-07-31,CORD,2,61YC00P00264
48,III-N,Yazoo,53066,1999-12-15,2004-10-25,CORD,1,82YC00P00035
71,III-N,Rankin,53228,1996-02-13,2007-01-09,CORD,1,61YC00P00151
100,III-N,Rankin,53244,1990-03-01,2001-03-13,CORD,1,61YC00P00370
88,III-N,Rankin,53252,1990-03-01,2000-09-28,CORD,1,61YC00P00254
3,III-N,Rankin,53287,1997-03-18,2001-04-05,CORD,1,61YC00P00066
4,III-N,Rankin,53295,1997-01-27,2001-08-09,CORD,1,61YC00P00067
73,III-N,Rankin,53511,1992-01-31,2002-02-26,CORD,1,61YC00P00159
74,III-N,Rankin,53538,1992-01-31,2002-02-26,CORD,1,61YC00P00160
75,III-N,Rankin,53546,1992-01-31,2002-06-12,CORD,1,61YC00P00161
107,III-N,Yazoo,54399,1994-04-20,2001-01-05,CORD,1,82YC00P00061
